,0,1,2,3,4,5,6,Avaliação,Nome,Ranking,7,8
59,,"Av. Francisco Gabriel Arruda, 960 - Conj. Parigot de Souza 1, Londrina - PR, 86083-100","PRMF+GV Conj. Parigot de Souza 1, Londrina - PR",depositobrasilsul.com.br,(43) 3254-1740,Reivindicar esta empresa,Adicionar horário,,Depósito Brasil Sul,,,
60,,,"R. Arcindo Sardo, 1059 - Jardim das Americas, Londrina - PR, 86076-140","PR78+P2 Jardim das Americas, Londrina - PR",facebook.com,(43) 3327-6980,,(78),Magrão Mat. para Construção,"4,6",,
61,,,"Av. Francisco Gabriel Arruda, 536 - Cj Parigot de Souza, Londrina - PR, 86081-000","PRJF+CW Conj. Parigot de Souza 3, Londrina - PR",depositocolibri.com.br,(43) 3338-2562,Reivindicar esta empresa,(102),Depósito Colibri Materiais para Construção,"4,6",,
62,,,"Av. Jamil Scaff, 850 - Conjunto Habitacional Alexandr, Londrina - PR, 86037-000","MVHR+52 Lon Rita, Londrina - PR",(43) 3337-6559,Reivindicar esta empresa,Adicionar website,(117),Depósito Montimó IV,"4,6",,
63,,,"Av. Aracy Soares Santos, 196 - Jd Santiago, Londrina - PR, 86071-790","PR84+R6 Leonor, Londrina - PR",facebook.com,(43) 3338-1130,,(20),Depósito Mônaco e Ferragens,"4,3",,
64,,,"Av. Jules Verne, 888 - Conj. Santa Rita 7, Londrina - PR, 86072-450","PQ8V+5F Conj. Santa Rita 7, Londrina - PR",Reivindicar esta empresa,Adicionar número de telefone,Adicionar website,(2),Reinaldo Matos Materiais para Construção,"5,0",,
65,,,"R. Tremembés, 1121 - Ideal, Londrina - PR, 86027-250","PV25+3X Ideal, Londrina - PR",(43) 3325-1819,Adicionar website,,(36),Depósito Tremembés,"4,6",,
66,,,"Av. Europa, 962 - Jd Piza, Londrina - PR, 86041-000","JVW6+FV Parque Res. Joao Piza, Londrina - PR",depositoroseira.com,(43) 3341-4222,,(235),Depósito Roseira - Construção e Acabamentos,"4,7",,
67,,,"R. Rio Paraná, 286 - Jardim Sao Paulo, Cambé - PR, 86185-300","PP3X+38 Jardim Sao Paulo, Cambé - PR",dickasa.com.br,(43) 3154-2900,,(2),Dickasa Ferragens e Construção,"5,0",,
68,,,"Av. Arthur Thomas, 976 - Jardim Novo Sabara, Londrina - PR, 86063-460","MRW2+3H Jardim Novo Sabara, Londrina - PR",(43) 3338-0415,Adicionar website,,(90),DEPÓSITO BANDEIRANTES,"4,6",,
69,,,"Av. Saul Elkind, 5277 - Jardim Paraty, Londrina - PR, 86082-000","PRQ7+G9 Jardim Paraty, Londrina - PR",(43) 3328-0644,Adicionar website,,(76),DEPOSITO AMIGAO,"4,6",,
70,,,"Av. Jorge Casoni, 2396 - Centro, Londrina - PR, 86026-110","MRPX+VC Centro, Londrina - PR",diprotec.com.br,(43) 3037-7222,Gerenciar esta ficha,(15),Diprotec - Distr. Produtos Técnicos para Construção Civil,"4,8",Adicionar horário,
71,,,"Av. das Maritacas, 1715 - Indusville, Londrina - PR, 86031-070","PV7G+9W Indusville, Londrina - PR",(43) 3325-3006,Reivindicar esta empresa,Adicionar website,(58),Depósito Casa Nova,"4,6",,
72,,,"Av. das Maritacas, 1950 - Indusville, Londrina - PR, 86031-070","PV7H+QQ Indusville, Londrina - PR",(43) 3329-1163,Reivindicar esta empresa,Adicionar website,(12),Depósito Maritacas,"4,8",,
73,,,"Av. Europa, 962 - Jd Piza, Londrina - PR, 86041-000","JVW6+FV Parque Res. Joao Piza, Londrina - PR",depositoroseira.com,(43) 3341-4222,,(235),Depósito Roseira - Construção e Acabamentos,"4,7",,
74,,,"Av. das Laranjeiras, 1590 - Marumbi, Londrina - PR, 86035-090","MVP7+QX Marumbi, Londrina - PR",facebook.com,(43) 3334-2014,,(15),Depósito Construforte,"4,6",,
