1,Endereço 2,Endereço 1,Contato 2,Contato 1,Avaliação,Nome,Ranking,6,7
,"R. Rio Paraná, 286 - Jardim Sao Paulo, Cambé - PR, 86185-300","PP3X+38 Jardim Sao Paulo, Cambé - PR",dickasa.com.br,(43) 3154-2900,(2),Dickasa Ferragens e Construção,5,,
,"Avenida Célso García Cid, 1333 - Vila Siam, PR - SIAN, Londrina - PR, 86035-000","MVM3+WR Fraternidade, Londrina - PR",(43) 3322-6364,Adicionar website,(2),JANELAS LUZA ACABAMENTOS LTDA,"4,5",,
,"R. Rio Paraná, 286 - Jardim Sao Paulo, Cambé - PR, 86185-300","PP3X+38 Jardim Sao Paulo, Cambé - PR",dickasa.com.br,(43) 3154-2900,(2),Dickasa Ferragens e Construção,5,,
,"Av. Rio Branco, 380 - Jardim Agari, Londrina - PR, 86025-595","PR2G+HP Jardim Agari, Londrina - PR",alambrados-laser.negocio.site,(43) 3338-5563,(2),ALAMBRADOS LASER,5,,
,"R. Pirapó, 234 - Vl Recreio, Londrina - PR, 86025-320","PR2Q+73 Vila Balarotti, Londrina - PR",(43) 3334-3807,Reivindicar esta empresa,(2),Art Jato-Jateamento em Vidro,"4,5",Adicionar horário,Adicionar website
,"Av. Dez de Dezembro, 7104 - Ouro Branco, Londrina - PR, 86046-140","JVW2+27 Ouro Branco, Londrina - PR",housepisoseacabamentos.com.br,(43) 3341-6009,(2),HOUSE Pisos Porcelanato e Acabamentos londrina construção,"4,5",,
,"R. Bahia, 534 - Jardim Palmares, Londrina - PR, 86025-010","MRWQ+VC Jardim Palmares, Londrina - PR",sintecadoralondrina.com,(43) 3344-0912,(2),Sintecadora Paulista,"4,5",,
,"Av. Nassim Jabur, 145 - Jardim dos Alpes, Londrina - PR, 86025-190","PR4P+XR Jardim dos Alpes, Londrina - PR",inoxlondrina.com.br,(43) 3339-5315,(2),Inox Londrina-Comércio de Metais,3,Reivindicar esta empresa,
,"R. Rio Paraná, 286 - Jardim Sao Paulo, Cambé - PR, 86185-300","PP3X+38 Jardim Sao Paulo, Cambé - PR",dickasa.com.br,(43) 3154-2900,(2),Dickasa Ferragens e Construção,5,,
,"R. Araguaia, 250 - Jardim Agari, Londrina - PR, 86025-720","PR2M+4W Jardim Agari, Londrina - PR",vitrinevirtual.net,(43) 3324-0024,(2),Parafusos Londrina,5,Reivindicar esta empresa,
