,Nome,Avaliação,Endereço,Website,Rede Social
182,Mercado das Tintas,(5),"R. Benjamin Constant, 1485 - Centro, Londrina - PR, 86020-320",,
183,Alvorada Tintas Automotivas - Londrina,(14),"R. Guaporé, 304 - Centro, Londrina - PR, 86026-010",(43) 3337-5700,
184,Inox Londrina,(5),"Av. Nassim Jabur, 145 - Paulista, Londrina - PR, 86025-200",(43) 3329-9007,
185,Barroso Concertina | Concertina Londrina e Região,(2),"Av. Dez de Dezembro, 1550 - Centro, Londrina - PR, 86026-220",,
186,Casa das Cubas,(3),"Av. Arcebispo Dom Geraldo Fernandes, 2475 - Jardim Agari, Londrina - PR, 86020-145",(43) 3325-3217,
187,G&G Embalagens de madeira e pallets,,"Av. Lucílio de Held, 671 - Coliseu, Londrina - PR, 86076-110",(43) 3338-1485,
188,Tintas Darka - Quintino - Londrina,(90),"R. Quintino Bocaiúva, 922 - Centro, Londrina - PR, 86020-150",(43) 3322-2224,
189,Fox Tintas,(6),"R. Araguaia, 750 - Vila Nova, Londrina - PR, 86025-720",,
190,Maglon Motoserras Autorizada Stihl,(21),"Av. Tiradentes, 330 - Jardim Shangri-Lá A, Londrina - PR, 86070-000",,
191,Telhacor Tintas,,"R. Quintino Bocaiúva, 846 - Centro, Londrina - PR, 86020-150",,
192,Duque ferramentas,(18),"233, Av. Célso García Cid, 217 - Centro, Londrina - PR",,
193,Ziliz,(25),"R. Manaus, 51 - Centro, Londrina - PR, 86020-560",(43) 3329-2120,
194,Casa dos Parafusos e Ferragens,(12),"R. Guaporé, 900 - Jardim Palmares, Londrina - PR, 86025-000",(43) 3325-3035,
195,Empório do Vidraceiro,(42),"R. Tietê, 1724 - Jardim Tabapua, Londrina - PR, 86026-490",(43) 3329-3636,
196,Fran Portas e Janelas,(75),"Av. Dez de Dezembro, 800 - Vila Casoni, Londrina - PR, 86026-220",(43) 3336-6313,
197,Lord Master Chaveiro,(2),"R. Belo Horizonte, 422 - Centro, Londrina - PR, 86020-060",(43) 3321-1628,
198,Zama Ferramentas e Artigos para Posto e Borracharia,(135),"R. Araguaia, 713 - Jardim Agari, Londrina - PR, 86025-720",(43) 3339-4249,
199,Bazzani Tintas,(39),"R. Quintino Bocaiúva, 1134 - Centro, Londrina - PR, 86020-290",(43) 3324-6495,
200,Guaporé Tintas,(176),"R. Guaporé, 368 - Centro, Londrina - PR, 86026-010",(43) 3324-9299,
201,Dafel Ferramentas,(35),"Av. Duque de Caxias, 3659 - Portuguesa, Londrina - PR, 86071-280",(43) 3321-3044,
202,Girotec Assistência Técnica de Ferramentas Elétricas,(39),"Rua Brasil, 88 Esquina Com, R. Sergipe - Centro, Londrina - PR, 86010-200",,
203,Bonfim Tintas,(54),"R. Quintino Bocaiúva, 893 - Centro, Londrina - PR, 86020-150",(43) 3347-8080,
204,Visoar Refrigeração e Ar Condicionado,(10),"Av. Tiradentes, 386 - Jardim Shangri-Lá A, Londrina - PR, 86070-545",(43) 3025-6595,
205,Brasilit,(22),"R. Ronat Valter Sodré, 4100 - Castelo Branco, Ibiporã - PR, 86200-000",0800 11 6299,
206,Macripar Parafusos & Ferramentas,(297),macripar.com.br,Gerenciar esta ficha,
207,Macri & Macri,(15),"R. Quintino Bocaiúva, 800 - Centro, Londrina - PR, 86020-150",Reivindicar esta empresa,
208,Brasolda - O Mundo das Ferramentas,(122),"Av. Tiradentes, 334 - Shangri-lá, Londrina - PR, 86070-545",(43) 3373-2870,
209,RP Bealta Representações Comerciais,,(43) 99912-8154,,
210,Telas e Alambrados Brasil Londrina,(28),alambradosbrasil.com.br,,
